Ag,107.86822,1.93
Al,1.61
Au,2.54
B,2.04
Ba,0.84
Be,1/57
Bi,2.02
Ca,1.00
Cd,1.69
Ce,1.12
Co,1.88
Cr,1.66
Cs,0.79
Cu,1.90
Dy,1.22
Er,1.24
Eu,1.2
Fe,1.83
Gd,1.2
Ge,2.01
Hf,1.3
Ho,1.23
In,1.78
K,0.82
La,1.1
Li,0.98
Lu,1.27
Mg,1.31
Mn,1.55
Mo,2.16
Na,0.93
Nb,1.6
Nd,1.14
Ni,1.91
P,2.19
Pb,2.33
Pd,2.20
Pr,1.13
Pt,2.28
Rb,0.82
Re,1.9
Ru,2.2
Sb,2.05
Sc,1.36
Si,1.90
Sm,1.17
Sn,1.96
Sr,0.95
Ta,1.5
Tb,1.1
Te,2.1
Th,1.3
Ti,2.54
Tm,1.25
V,1.63
W,2.36
Y,1.22
Yb,1.1
Zn,1.65
Zr,1.33
none,none,
