M1,M2,M3,Support,Temperature,Pch4,Po2,Par,C2y,Type
Li,K,Mn,Mg,800,0.5666666667,0.2833333333,0.15,8.214982,HTP
Li,Fe,Tb,Mg,850,0.4,0.2,0.4,4.7123645208,HTP
Na,Na,none,Mg,850,0.5666666665,0.2833333334,0.15,7.363833,HTP
Na,Ni,Y,Mg,750,0.2571428571,0.0428571429,0.7,0.9814814271,HTP
Na,Ce,Tb,Mg,900,0.7285714286,0.1214285714,0.15,3.831034876,HTP
Na,Tb,Hf,Mg,800,0.5666666665,0.2833333334,0.15,8.551982,HTP
Mg,Ca,Zn,Mg,850,0.68,0.17,0.15,2.140482,HTP
Mg,Mn,none,Mg,850,0.5666666667,0.2833333333,0.15,7.8534922883,HTP
Mg,Zn,Eu,Mg,700,0.5666666665,0.2833333334,0.15,15.494094,HTP
Mg,Nd,none,Mg,850,0.2,0.1,0.7,9.503653,HTP
Ca,Zr,La,Mg,750,0.5666666667,0.2833333333,0.15,16.0851279908,HTP
Ti,Ni,Cs,Mg,800,0.4,0.2,0.4,1.5927343723,HTP
V,Fe,Ni,Mg,800,0.5666666667,0.2833333333,0.15,7.558912,HTP
V,Mo,Pd,Mg,900,0.2571428571,0.0428571429,0.7,0.5710721972,HTP
V,Tb,W,Mg,850,0.5666666667,0.2833333333,0.15,6.6885060587,HTP
Fe,Y,Nd,Mg,800,0.5666666667,0.2833333333,0.15,3.6370920523,HTP
Fe,Zr,none,Mg,850,0.5666666665,0.2833333334,0.15,7.061936,HTP
Fe,Ce,Tb,Mg,800,0.5666666667,0.2833333333,0.15,6.236992,HTP
Co,Zn,Sr,Mg,850,0.7285714285,0.1214285715,0.15,0.985061,HTP
Co,Zn,Tb,Mg,900,0.5666666665,0.2833333334,0.15,5.721083,HTP
Co,Y,Hf,Mg,700,0.5666666667,0.2833333333,0.15,7.0389724573,HTP
Ni,Y,Tb,Mg,900,0.24,0.06,0.7,5.633076,HTP
Y,La,Ce,Mg,700,0.5666666665,0.2833333334,0.15,12.13071,HTP
Mo,Cs,La,Mg,850,0.4,0.2,0.4,8.529655,HTP
Mo,Ce,Tb,Mg,800,0.5666666667,0.2833333333,0.15,7.3066330906,HTP
